All goals are:  ['get[wood]', 'make[stick]', 'get[iron]', 'make[axe]', 'get[gem]']
Environment: get[gem] | Task: Task(goal=(1, 12), steps=(2, 8, 4, 7, 11))
Currently working on goal -  get[wood]
ingredient_list -  []
Current actions -  {'DOWN': 0, 'UP': 1, 'LEFT': 2, 'RIGHT': 3, 'USE': 4}
Built new networks
/home/ksridhar/anaconda3/envs/DL_env/lib/python3.8/site-packages/torch/nn/modules/container.py:119: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
At episode -  20 Exploration_number - 0.9 Average reward - 0.640
At episode -  40 Exploration_number - 0.8 Average reward - 0.610
At episode -  60 Exploration_number - 0.7 Average reward - 0.650
At episode -  80 Exploration_number - 0.7 Average reward - 0.615
At episode -  100 Exploration_number - 0.6 Average reward - 0.635
At episode -  120 Exploration_number - 0.5 Average reward - 0.550
At episode -  140 Exploration_number - 0.5 Average reward - 0.700
At episode -  160 Exploration_number - 0.4 Average reward - 0.635
At episode -  180 Exploration_number - 0.4 Average reward - 0.565
At episode -  200 Exploration_number - 0.4 Average reward - 0.670
At episode -  220 Exploration_number - 0.3 Average reward - 0.685
At episode -  240 Exploration_number - 0.3 Average reward - 0.390
At episode -  260 Exploration_number - 0.3 Average reward - 0.550
At episode -  280 Exploration_number - 0.2 Average reward - 0.680
At episode -  300 Exploration_number - 0.2 Average reward - 0.560
At episode -  320 Exploration_number - 0.2 Average reward - 0.705
At episode -  340 Exploration_number - 0.2 Average reward - 0.825
At episode -  360 Exploration_number - 0.2 Average reward - 0.680
At episode -  380 Exploration_number - 0.1 Average reward - 0.630
At episode -  400 Exploration_number - 0.1 Average reward - 0.780
At episode -  420 Exploration_number - 0.1 Average reward - 0.755
At episode -  440 Exploration_number - 0.1 Average reward - 0.720
At episode -  460 Exploration_number - 0.1 Average reward - 0.760
At episode -  480 Exploration_number - 0.1 Average reward - 0.790
At episode -  500 Exploration_number - 0.1 Average reward - 0.645
